"PSC.0228"	"PSC.0187"	"PSC.0188"	"PSC.0174"	"PSC.0190"	"PSC.0231"	"PSC.0230"	"PSC.0219"	"PSC.0177"	"PSC.0186"	"PSC.0209"	"PSC.0203"
"g765.t1"	2	2	2	0	4	4	6	5	0	7	1	2
"g21966.t1"	9897	12888	6975	9260	8732	11286	8740	5659	6067	9513	12343	9691
"g5299.t1"	529	210	228	154	323	464	181	86	124	154	52	129
"g2819.t1"	17	39	74	3	18	12	195	129	35	119	148	115
"g6688.t1"	0	0	0	0	0	16	0	0	0	0	0	4
"g16589.t1"	222	329	84	28	17	81	54	20	22	9	0	69
"g442.t2"	1	8	9	11	1	3	2	3	3	28	11	0
"g12699.t1"	423	394	276	676	127	152	646	485	417	417	465	368
"g5704.t1"	164	166	140	152	33	55	186	164	249	205	187	118
"g15068.t1"	19	23	5	10	8	14	118	22	17	247	0	109
"g15068.t2"	0	0	0	0	0	0	0	0	0	0	0	14
"g12973.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g17279.t1"	0	0	0	0	0	2	0	0	1	0	0	3
"g8768.t1"	0	0	19	0	0	22	0	0	19	7	0	0
"g3228.t1"	0	0	0	7	0	0	0	0	6	0	0	0
"g21489.t1"	0	52	29	0	0	28	42	89	16	61	0	67
"g13612.t1"	69	115	103	61	72	77	291	127	92	474	183	344
"g2200.t1"	61	19	11	15	5	58	124	64	41	67	44	42
"g22173.t2"	8	0	4	0	0	20	28	7	5	21	0	22
"g3599.t1"	529	363	264	130	319	155	568	336	230	513	336	353
"g10597.t1"	61	261	157	0	4	164	0	36	39	0	0	5
"g20841.t1"	834	176	794	165	749	118	1076	598	731	986	109	874
"g20841.t2"	367	694	132	574	243	569	368	327	197	204	955	92
"g22171.t2"	321	603	797	767	227	374	2337	1747	1508	2588	1666	1669
"g13610.t1"	6	0	0	6	0	0	21	0	6	0	0	0
"g3788.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g3788.t2"	5	0	0	0	0	0	0	0	0	0	0	0
"g14667.t1"	7	32	5	0	0	17	0	0	3	0	0	6
"g2450.t1"	455	358	942	1201	506	190	893	226	127	469	576	323
"g21200.t1"	0	0	0	0	0	0	75	0	13	0	0	0
"g13212.t1"	19	8	0	0	2	0	4	1	0	0	0	0
"g18740.t1"	7	20	146	4	4	339	0	0	25	0	63	24
"g10826.t1"	25	73	22	46	21	17	40	48	39	55	6	11
"g1068.t1"	10682	6435	8992	27200	6807	8123	13636	16315	26853	6183	11623	7907
"g20843.t1"	5	9	3	3	22	2	9	4	4	2	13	7
"g17563.t1"	0	3	2	0	0	0	4	15	7	1	0	0
"g11358.t1"	209	325	222	180	112	156	265	173	188	193	165	168
"g18381.t1"	572	459	716	327	830	854	971	873	779	857	719	604
"g6114.t1"	86	110	113	195	59	45	354	376	337	380	274	260
"g3209.t1"	1882	1162	1026	1187	1068	1491	1717	1169	1116	1256	1066	1059
"g5198.t1"	7	2	6	5	16	9	10	16	15	5	72	66
"g3209.t2"	265	157	194	78	122	267	207	116	112	43	57	48
"g21202.t1"	3155	4818	3326	5327	4026	5666	1738	1794	1118	905	635	1577
"g12948.t1"	150	176	427	24	10	679	171	29	6	28	113	271
"g7163.t1"	152	36	82	148	99	113	57	58	47	37	149	16
"g5960.t1"	201	279	279	376	123	253	175	106	107	84	110	142
"g13535.t1"	1234	1237	1116	439	647	929	1417	867	948	1109	1052	726
"g6014.t1"	0	0	0	1	2	0	0	0	0	2	0	0
"g18383.t1"	211	89	164	348	56	134	449	442	430	425	373	307
"g88.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g7970.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g23614.t1"	4960	2551	3122	6316	5029	3677	4318	3684	3938	3849	4406	3625
"g9608.t1"	5	32	8	0	0	4	32	34	11	43	3	26
"g21221.t1"	42	51	54	36	7	19	107	84	38	106	16	74
"g14232.t1"	157	166	165	210	73	162	527	291	135	251	156	206
"g1649.t1"	10	0	20	4	11	0	16	8	50	10	0	39
"g6016.t1"	0	0	0	0	0	0	0	0	0	0	0	0
